px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	1.97626e-323
0.34636	-0.346233	0	0	0	0	0	0	0	0	0	2.06605
1.53697	-0.13158	1.27608	-1.38778e-17	2.77556e-17	1.54451	-0.215296	2.09897	0.0522228	2.19595	0.109339	1.1478
1.62266	0.0184636	1.9855	-0.0466014	-0.0263108	1.81271	0.0261973	2.09897	0.0522228	2.19595	0.109339	3.4476
3.88095	-0.129375	2.7262	-0.179772	-0.117603	3.85596	-0.520464	4.29136	0.215312	2.28434	0.226323	0.812405
3.95167	0.0723622	3.11238	0.138593	0.0732443	4.20097	0.052026	4.29136	0.215312	2.28434	0.226323	4.20981
6.85615	0.415385	3.95812	0.201791	0.0784518	6.27588	2.77871	6.56942	0.496096	2.36382	0.348847	0.423061
6.76721	0.441007	3.10887	0.267049	0.18356	6.4566	0.0733053	6.56942	0.496096	2.36382	0.348847	2.04652
9.07039	0.597072	3.31045	-0.301695	-0.365372	7.52647	5.07447	8.92437	0.89924	2.43359	0.474526	0.343487
9.03621	0.664587	3.19319	-0.258919	-0.340767	8.9416	0.0993607	8.92437	0.89924	2.43359	0.474526	1.17596
11.5702	1.65793	2.89989	0.519901	0.275219	-1.11074	11.5221	11.3468	1.427	2.49328	0.600781	1.02221
11.5441	1.62152	2.87423	0.501156	0.266826	11.5337	0.124268	11.3468	1.427	2.49328	0.600781	0.522546
13.591	2.31886	2.5926	0.31943	-0.0150047	-9.1762	10.0271	13.827	2.07905	2.5429	0.724947	0.255361
13.6058	2.28541	2.69724	0.298317	-0.0376174	13.8027	0.145349	13.827	2.07905	2.5429	0.724947	0.587484
16.6233	2.90224	3.83287	0.0168435	-0.194179	-16.174	3.93396	16.3554	2.85243	2.58284	0.844365	1.00524
16.5444	2.88255	3.14336	-0.0322608	-0.272554	16.5289	0.173075	16.3554	2.85243	2.58284	0.844365	1.57361
19.0109	3.69587	2.96688	0.387185	0.16678	-16.0667	-10.1619	18.923	3.74161	2.61382	0.95648	0.565592
19.0779	3.71903	2.78256	0.442161	0.221313	19.7462	0.197327	18.923	3.74161	2.61382	0.95648	1.39245
21.3244	4.73297	3.05864	0.428466	0.0692248	0.419427	-21.3271	21.5215	4.73855	2.63679	1.05891	0.123818
21.3792	4.74249	3.0616	0.416224	0.0673405	22.1364	0.21615	21.5215	4.73855	2.63679	1.05891	0.776215
24.0675	5.56981	3.54943	0.185066	-0.122803	18.2052	-15.7593	24.1437	5.83295	2.65286	1.14953	0.28865
24.1644	5.59832	3.36954	0.156064	-0.148929	25.2642	0.236658	24.1437	5.83295	2.65286	1.14953	3.05371
26.6078	6.95284	3.27155	0.630789	0.248191	20.7237	16.6844	26.7833	7.01246	2.6632	1.22647	0.445194
26.5943	6.94714	3.34298	0.617463	0.230039	27.4243	0.254363	26.7833	7.01246	2.6632	1.22647	0.0614922
29.5718	8.08818	3.75703	0.242875	-0.163939	-6.85756	28.7807	29.4352	8.26299	2.66893	1.28822	0.703391
29.5471	8.07567	3.33972	0.228005	-0.185059	30.6032	0.272793	29.4352	8.26299	2.66893	1.28822	0.429993
31.9441	9.8694	3.32328	0.834188	0.321634	-28.6864	-14.0483	32.0955	9.56901	2.67105	1.33358	0.714832
31.8993	9.84715	3.35119	0.813256	0.296315	33.1815	0.290333	32.0955	9.56901	2.67105	1.33358	0.669267
34.609	10.7127	2.5287	0.186478	-0.305608	-10.1229	-33.1025	34.7608	10.9139	2.67035	1.3617	1.34933
34.7151	10.7662	3.05766	0.181227	-0.276535	36.7436	0.3039	34.7608	10.9139	2.67035	1.3617	2.77886
37.1392	12.0776	3.15036	0.619435	0.179676	32.9769	-17.0861	37.4287	12.2803	2.66736	1.37209	0.593696
